Hour,Net_Grid,Electric_Demand,PV_Production
339,26.703453479203635,53.40690695840727,0.0
340,28.64177491803478,57.28354983606956,0.0
341,29.869316891198263,59.738633782396526,0.0
342,33.27937699086631,66.55875398173262,0.0
343,82.23353786091623,164.46707572183246,0.0
344,71.2645083461513,143.35274023624433,0.41186177197086504
345,15.033514566209996,31.500869218375154,0.7169200429775802
346,25.687325132789166,52.62021138487591,0.622780559648787
347,26.422613640553532,55.057653234361865,1.1062129766274014
348,26.060376913908534,53.942540258745964,0.9108932154644472
349,39.88890758118415,81.48520130945965,0.8536930735456796
350,32.934889823333286,66.78030831212209,0.45526433272775507
351,25.71494350947629,51.79920141472439,0.18465719788590973
352,25.908867533898317,51.81773506779663,0.0
353,27.05099828624625,54.1019965724925,0.0
354,29.94097345926594,59.88194691853188,0.0
355,50.8783942553131,101.7567885106262,0.0
356,97.19819760941859,194.39639521883717,0.0
357,66.83885158835736,133.67770317671472,0.0
358,56.66100095762519,113.32200191525038,0.0
359,49.17246086372507,98.34492172745014,0.0
360,10.813957610809952,21.627915221619904,0.0
361,21.35515670738854,42.71031341477708,0.0
362,24.56468797995192,49.12937595990384,0.0
363,26.687608019325584,53.37521603865117,0.0
364,28.31067436816971,56.62134873633942,0.0
365,30.20756778394442,60.41513556788884,0.0
366,34.181841816203175,68.36368363240635,0.0
367,46.78504822331491,93.57009644662982,0.0
368,86.46136531826927,174.71579749139752,0.8965334274294958
369,55.302627481206784,113.228174396036,1.3114597168112176
370,51.4910283421729,105.03659853735469,1.0272709265044435
371,44.753354599911155,91.34296470642035,0.9181277532990146
372,37.905211731970695,76.97862933785697,0.5841029369577903
373,46.76183561827617,94.92569839011134,0.701013576779494
374,34.48936914069886,70.40403326950344,0.7126474940528612
375,23.677020614700726,47.545023992059264,0.09549138132890421
376,23.702519818360447,47.40503963672089,0.0
377,29.717666093781435,59.43533218756287,0.0
378,34.53891639646532,69.07783279293064,0.0
379,56.45028094636869,112.90056189273739,0.0
380,66.76460154789503,133.52920309579005,0.0
381,51.31414342590606,102.62828685181212,0.0
382,45.29411930109365,90.5882386021873,0.0
383,40.53886816280813,81.07773632561626,0.0
384,7.749788376629445,15.49957675325889,0.0
385,15.66953345135799,31.33906690271598,0.0
386,20.127204854862736,40.25440970972547,0.0
387,23.065413190958107,46.130826381916215,0.0
388,24.611147506109056,49.22229501221811,0.0
389,27.436696048206993,54.87339209641399,0.0
390,31.71253710853729,63.42507421707458,0.0
391,46.15961054334769,92.31922108669538,0.0
392,85.72935790433242,172.61134588773888,0.576315039537016
393,53.583952976317086,108.89761478515942,0.8648544162626208
394,49.46116280902369,100.18263978544748,0.6301570837000487
